Variável,Valor
mono white,9
mono blue,4
mono black,8
mono red,13
mono green,15
azorios (White Blue),37
Boros (Red White),14
Dimir (Blue Black),17
Golgari (Black Green),10
Gruul (Red Green),10
Izzet (Blue Red),23
Orzhov (White Black),17
Rakdos (Black Red),12
Selesnya (White Green),22
Simic (Blue Green),1
Abzan (White Black Green),2
Bant (White Blue Green),6
Esper (White Blue Black),4
Grixis (Blue Black Red),1
Jeskai (Blue Red White),9
Jund (Black Red Green),1
Mardu (Red White Black),8
Naya (Red White Green),8
Sultai (Blue Black Green),3
Temur (Blue Red Green),17
Glint (White Blue Red Green),3
Dune (White Blue Black Green),2
Ruin (White Blue Black Red),3
Witch (Blue Black Red Green),3
Yore (White Red Black Green),6
Todas Cores,12

Total de Inserções,300